BEL_NR;LEIST_BEZ;PL_EUR;GL_EUR
0010;Modell;5,89;6,20
0018;Modell bei Implantatversorgung;5,89;6,20
0021;Doublieren;12,51;13,16
0022;Platzhalter einfügen;12,48;13,14
0023;Verwendung von Kunststoff;12,48;13,14
0024;Galvanisieren;12,48;13,14
0030;Set-up ;8,20;8,64
0051;Stumpfmodell/Sägemodell;9,46;9,95
0052;Stumpfmodell/Einzelstumpfmodell;9,46;9,95
0053;Stumpfmodell/Modell nach Überabdruck;9,46;9,95
0054;Stumpfmodell/Set-up Modell;9,46;9,95
0055;Stumpfmodell/Fräsmodell;9,46;9,95
0060;Zahnkranz;4,80;5,06
0070;Zahnkranz sockeln;5,07;5,33
0111;Modellpaar trimmen;9,00;9,47
0112;Fixator;7,68;8,08
0120;Mittelwertartikulator;8,66;9,12
0128;Mittelwertartikulator bei Implantatvers.;8,66;9,12
0130;Modellpaar sockeln;20,06;21,12
0201;Basis für Vorbissnahme;8,02;8,45
0202;Basis für Konstruktionsbiss;6,85;7,22
0211;Basis Autopolym./Individueller Löffel;20,15;21,21
0212;Basis Autopolym./Funktionslöffel;20,15;21,21
0213;Basis Autopolym./Bissregistrierung;20,15;21,21
0214;Basis Autopolym./Stützstiftregistrierung;20,15;21,21
0215;Basis Autopolym./Kunststoffbasis f. Aufstell.;20,15;21,21
0216;Basis für Bissregistr. bei Implantatvers.;20,15;21,21
0218;Basis für Aufstellung bei Implantatvers.;20,15;21,21
0220;Bisswall;5,83;6,12
0228;Bisswall bei Implantatversorgung;5,83;6,12
0230;Registrierplatte und -stift auf Basen;25,91;27,27
0240;Übertragungskappe Kunststoff/Metall;22,19;23,36
0310;Provisorische Krone/Brückenglied;29,67;31,23
0320;Formteil;16,07;16,91
1013;Wurzelstiftkappe;69,12;72,76
1021;Vollkrone, Metall;74,29;78,20
1022;Teilkrone, Metall;74,29;78,20
1023;Flügel für Adhäsivbrücke, je Flügel;72,74;76,57
1024;Krone für vestibuläre Verblendung;73,69;77,56
1026;Vollkrone/Metall bei Implantatversorgung;74,29;78,20
1028;Krone für vestib.Verblendung bei Impl.vers.;73,69;77,56
1031;Vorbereiten Krone/Brückenglied ;12,41;13,07
1032;Krone/Brückenglied einarbeiten;12,41;13,07
1033;Stiftaufbau einarbeiten;12,41;13,07
1040;Modellation gießen;16,16;17,00
1050;Stiftaufbau ;48,89;51,46
1100;Brückenglied;53,17;55,97
1200;Teleskopierende Krone;231,47;243,65
1201;Teleskopierende Primär- o. Sekundärkrone;154,72;162,86
1331;Individuelles Geschiebe- nur bei geteilter Br.;193,41;203,58
1341;Konfektion. Geschiebe- nur bei geteilter Br.;95,83;100,88
1343;Konfektionsanker;95,83;100,88
1347;Primär-/Sekundär-Teil Konfektionsanker;63,76;67,12
1349;Wiederbef. Sekundär-Teil ind. Verbindung;63,76;67,12
1360;Gefrästes Lager;46,06;48,49
1370;Schubverteilungsarm;34,54;36,35
1500;Metallverbindung nach Brand;25,75;27,11
1550;Konditionierung, je Zahn/Flügel;12,27;12,91
1600;Vestibuläre Verblendung Kunststoff;42,05;44,27
1610;Zahnfleisch Kunststoff;13,39;14,09
1620;Vestibuläre Verblendung Keramik;86,40;90,94
