kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
10;10;Modell;0;;;6,30 €;6,63 €;6,30 €;6,63 €;6,30 €;6,63 €;;
18;18;Modell bei Implantatversorgung;0;;;6,30 €;6,63 €;;;6,30 €;6,63 €;;
21;21;Doublieren eines Modells;0;;;14,74 €;15,52 €;14,74 €;15,52 €;14,74 €;15,52 €;;
22;22;Platzhalter einfügen;0;;;13,34 €;14,04 €;;;13,34 €;14,04 €;;
23;23;Verwendung von Kunststoff;0;;;13,34 €;14,04 €;;;13,34 €;14,04 €;;
24;24;Galvanisieren;0;;;13,34 €;14,04 €;;;13,34 €;14,04 €;;
30;30;Set-up je Segment;0;;;9,52 €;10,02 €;9,52 €;10,02 €;9,52 €;10,02 €;;
51;51;Sägemodell;0;;;10,11 €;10,64 €;;;10,11 €;10,64 €;;
52;52;Einzelstumpfmodell;0;;;10,11 €;10,64 €;;;10,11 €;10,64 €;;
53;53;Modell nach Überabdruck;0;;;10,11 €;10,64 €;;;10,11 €;10,64 €;;
54;54;Set-up Modell für KFO;0;;;10,93 €;11,50 €;10,93 €;11,50 €;10,93 €;11,50 €;;
55;55;Fräsmodell;0;;;10,11 €;10,64 €;;;10,11 €;10,64 €;;
60;60;Zahnkranz;0;;;4,79 €;5,04 €;;;4,79 €;5,04 €;;
70;70;Zahnkranz sockeln;0;;;5,22 €;5,49 €;5,22 €;5,49 €;5,22 €;5,49 €;;
111;111;Modellpaar trimmen;0;;;8,55 €;9,00 €;8,55 €;9,00 €;8,55 €;9,00 €;;
112;112;Fixator;0;;;8,20 €;8,63 €;8,20 €;8,63 €;8,20 €;8,63 €;;
120;120;Mittelwertartikulator;0;;;9,25 €;9,74 €;9,25 €;9,74 €;9,25 €;9,74 €;;
128;128;Mittelwertartikulator bei Implantatversorgung;0;;;9,25 €;9,74 €;;;9,25 €;9,74 €;;
130;130;Modellpaar sockeln;0;;;22,95 €;24,16 €;22,95 €;24,16 €;22,95 €;24,16 €;;
201;201;Basis für Vorbissnahme;0;;;8,56 €;9,01 €;;;8,56 €;9,01 €;;
202;202;Basis für Konstruktionsbiss;0;;;8,58 €;9,03 €;8,58 €;9,03 €;8,58 €;9,03 €;;
211;211;Individueller Löffel;0;;;20,84 €;21,94 €;;;20,84 €;21,94 €;;
212;212;Funktionslöffel;0;;;20,84 €;21,94 €;;;20,84 €;21,94 €;;
213;213;Basis für Bissregistrierung;0;;;20,84 €;21,94 €;20,84 €;21,94 €;20,84 €;21,94 €;;
214;214;Basis für Stützstiftregistrierung;0;;;20,84 €;21,94 €;;;20,84 €;21,94 €;;
215;215;Basis für Aufstellung;0;;;20,84 €;21,94 €;;;20,84 €;21,94 €;;
216;216;Basis für Bissregistr. bei Implantatversorgung;0;;;20,84 €;21,94 €;;;20,84 €;21,94 €;;
218;218;Basis für Aufstellung bei Implantatversorgung;0;;;20,84 €;21,94 €;;;20,84 €;21,94 €;;
220;220;Bisswall;0;;;6,21 €;6,54 €;6,21 €;6,54 €;6,21 €;6,54 €;;
228;228;Bisswall bei Implantatversorgung;0;;;6,21 €;6,54 €;;;6,21 €;6,54 €;;
230;230;Registrierplatte und -stift auf Basen;0;;;27,69 €;29,15 €;;;27,69 €;29,15 €;;
240;240;Übertragungskappe Kunststoff/Metall;0;;;23,71 €;24,96 €;;;23,71 €;24,96 €;;
310;310;Provisorische Krone/Brückenglied;0;;;30,00 €;31,58 €;;;30,00 €;31,58 €;;
320;320;Formteil;0;;;17,18 €;18,08 €;;;17,18 €;18,08 €;;
1013;1013;Wurzelstiftkappe;0;;;72,58 €;76,40 €;;;72,58 €;76,40 €;;
1021;1021;Vollkrone/Metall;0;;;77,89 €;81,99 €;;;77,89 €;81,99 €;;
1022;1022;Teilkrone/Metall;0;;;79,40 €;83,58 €;;;79,40 €;83,58 €;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;;;77,75 €;81,84 €;;;77,75 €;81,84 €;;
1024;1024;Krone für vestibuläre Verblendung;0;;;78,76 €;82,90 €;;;78,76 €;82,90 €;;
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;;;79,40 €;83,58 €;;;79,40 €;83,58 €;;
1028;1028;Krone für vestib. Verbl. bei Implantatversorgung;0;;;78,76 €;82,90 €;;;78,76 €;82,90 €;;
1031;1031;Vorbereiten Krone;0;;;13,06 €;13,75 €;;;13,06 €;13,75 €;;
1032;1032;Krone/Brückenglied einarbeiten;0;;;13,06 €;13,75 €;;;13,06 €;13,75 €;;
1033;1033;Stiftaufbau einarbeiten;0;;;13,06 €;13,75 €;;;13,06 €;13,75 €;;
1040;1040;Modellation gießen;0;;;17,27 €;18,18 €;;;17,27 €;18,18 €;;
1050;1050;Stiftaufbau;0;;;49,54 €;52,15 €;;;49,54 €;52,15 €;;
1100;1100;Brückenglied;0;;;55,69 €;58,62 €;;;55,69 €;58,62 €;;
1200;1200;Teleskopierende Krone;0;;;238,11 €;250,64 €;;;238,11 €;250,64 €;;
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;;;165,09 €;173,78 €;;;165,09 €;173,78 €;;
1331;1331;Individuelles Geschiebe;0;;;194,84 €;205,09 €;;;194,84 €;205,09 €;;
1341;1341;Konfektions-Geschiebe;0;;;95,91 €;100,96 €;;;95,91 €;100,96 €;;
1343;1343;Konfektions-Anker;0;;;95,91 €;100,96 €;;;95,91 €;100,96 €;;
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;;;65,36 €;68,80 €;;;65,36 €;68,80 €;;
1349;1349;Wiederbef. Sek.-Teil;0;;;65,36 €;68,80 €;;;65,36 €;68,80 €;;
1360;1360;Gefrästes Lager;0;;;47,03 €;49,50 €;;;47,03 €;49,50 €;;
1370;1370;Schubverteilungsarm;0;;;33,81 €;35,59 €;;;33,81 €;35,59 €;;
