Kürzel;Nr;Kassenart;Kurzbezeichnung;Fremdlabor;Eigenlabor
0010;0010;0;Modell;6,82;6,48
0018;0018;0;ModellbeiImplantatversorgung;6,82;6,48
0022;0022;0;Platzhaltereinfügen;14,39;13,67
0023;0023;0;VerwendungvonKunststoff;14,39;13,67
0024;0024;0;Galvanisieren;14,39;13,67
0051;0051;0;Sägemodell;10,91;10,36
0052;0052;0;Einzelstumpfmodell;10,91;10,36
0053;0053;0;ModellnachÜberabdruck;10,91;10,36
0055;0055;0;Fräsmodell;10,91;10,36
0060;0060;0;Zahnkranz;5,54;5,26
0070;0070;0;Zahnkranzsockeln;5,85;5,56
0112;0112;0;Fixator;8,89;8,45
0120;0120;0;Mittelwertartikulator;9,98;9,48
0128;0128;0;MittelwertartikulatorbeiImplantatversorgung;9,98;9,48
0201;0201;0;BasisfürVorbissnahme;9,24;8,78
0211;0211;0;IndividuellerLöffel;23,29;22,13
0212;0212;0;Funktionslöffel;23,29;22,13
0213;0213;0;BasisfürBissregistrierung;23,29;22,13
0214;0214;0;BasisfürStützstiftregistrierung;23,29;22,13
0215;0215;0;BasisfürAufstellung;23,29;22,13
0216;0216;0;BasisfürBissregistr.beiImplantatv.;23,29;22,13
0218;0218;0;BasisfürAufstellungbeiImplantatv.;23,29;22,13
0220;0220;0;Bisswall;6,71;6,37
0228;0228;0;BisswallbeiImplantatversorgung;6,71;6,37
0230;0230;0;Registrierplatteund-stiftaufBasen;29,91;28,41
0240;0240;0;ÜbertragungskappeKunststoff/Metall;25,70;24,42
0310;0310;0;ProvisorischeKrone/Brückenglied;34,25;32,54
0320;0320;0;Formteil;18,40;17,48
1013;1013;0;Wurzelstiftkappe;79,80;75,81
1021;1021;0;Vollkrone/Metall;85,77;81,48
1022;1022;0;Teilkrone/Metall;85,77;81,48
1023;1023;0;FlügelfürAdhäsivbrücke,jeFlügel;83,27;79,11
1024;1024;0;KronefürvestibuläreVerblendung;85,39;81,12
1026;1026;0;Vollkrone/MetallbeiImplantatv.;85,77;81,48
1028;1028;0;Kronefürvestib.Verbl.BeiImplantatv.;85,39;81,12
1031;1031;0;VorbereitenKrone;14,31;13,59
1032;1032;0;Krone/Brückengliedeinarbeiten;14,31;13,59
1033;1033;0;Stiftaufbaueinarbeiten;14,31;13,59
1040;1040;0;Modellationgießen;18,66;17,73
1050;1050;0;Stiftaufbau;56,44;53,62
1100;1100;0;Brückenglied;61,39;58,32
1200;1200;0;TeleskopierendeKrone;268,22;254,81
1201;1201;0;TeleskopierendePrimär-oderSekundärkrone;178,33;169,41
1331;1331;0;IndividuellesGeschiebe;223,33;212,16
1341;1341;0;Konfektions-Geschiebe;110,69;105,16
1343;1343;0;Konfektions-Anker;110,69;105,16
1347;1347;0;Primär-/Sek.-TeilKonf.-Anker;73,62;69,94
1349;1349;0;Wiederbef.Sek.-Teil;73,62;69,94
1360;1360;0;GefrästesLager;53,18;50,52
1370;1370;0;Schubverteilungsarm;39,91;37,91
1500;1500;0;MetallverbindungnachBrand;29,75;28,26
1550;1550;0;KonditionierungjeZahn/Flügel;14,15;13,44
1600;1600;0;VestibuläreVerblendungKunststoff;48,57;46,14
1610;1610;0;ZahnfleischKunststoff;15,45;14,68
1620;1620;0;VestibuläreVerblendungKeramik;99,71;94,72
1628;1628;0;Vestib.Verbl.KeramikbeiImplantatv.;99,71;94,72
1630;1630;0;ZahnfleischKeramik;35,66;33,88
1638;1638;0;ZahnfleischKeramikbeiImplantatv.;35,66;33,88
1640;1640;0;VestibuläreVerblendungKomposit;75,91;72,11
1650;1650;0;ZahnfleischKomposit;20,56;19,53
2010;2010;0;Metallbasis;145,01;137,76
2021;2021;0;EinarmigegegosseneHaltevorrichtung;12,41;11,79
2025;2025;0;Kralle;12,41;11,79
2026;2026;0;Ney-Stiel;12,41;11,79
2027;2027;0;Auflage;12,41;11,79
2028;2028;0;UmgehungsbügelbeiDiastema;12,41;11,79
2031;2031;0;ZweiarmigegegosseneHaltevorrichtung;22,75;21,61
2041;2041;0;ZweiarmigegegosseneHalte-undStützvorrichtungmitAuflage;30,71;29,17
2050;2050;0;Bonwillklammer;56,06;53,26
2081;2081;0;Rückenschutzplatte;40,57;38,54
2082;2082;0;Metallzahn,gegossen;40,57;38,54
2083;2083;0;Metallkaufläche,gegossen;40,57;38,54
2100;2100;0;Lösungshilfe;11,74;11,15
2110;2110;0;UnterfütterbarerAbschlussrand;18,72;17,78
2120;2120;0;ZuschlageinzelnegegosseneKlammer;19,48;18,51
3010;3010;0;Aufstellung,Grundeinheit;30,65;29,12
3018;3018;0;Aufstellung,Grundeinh.beiImplantatv.;30,57;29,04
3020;3020;0;Aufst.Wachs-oderKunststoffjeZahn;1,84;1,75
3028;3028;0;Aufst.Wachs-oderKunststoffjeZahnbeiImplantatv.;1,83;1,74
3030;3030;0;AufstellenMetalljeZahn;2,41;2,29
3410;3410;0;ÜbertragungjeZahn;1,51;1,43
3610;3610;0;FertigstellungGrundeinheit;51,48;48,91
3618;3618;0;Fertigst.GrundeinheitbeiImplantatv.;51,28;48,72
3620;3620;0;FertigstellenjeZahn;3,32;3,15
3628;3628;0;FertigstellenjeZahnbeiImplantatv.;3,30;3,14
3800;3800;0;EinfachegebogeneHalte-/Stützvor.;10,16;9,65
