BEL_KNR;BEL_NR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
0010;0010;Modell;0;6,28;6,61
0018;0018;Modell bei Implantatversorgung;0;6,28;6,61
0021;0021;Doublieren;0;13,26;13,96
0022;0022;Platzhalter einfügen;0;13,27;13,97
0023;0023;Verwendung von Kunststoff;0;13,27;13,97
0024;0024;Galvanisieren;0;13,27;13,97
0030;0030;Set-up ;0;8,70;9,16
0051;0051;Stumpfmodell/Sägemodell;0;10,06;10,59
0052;0052;Stumpfmodell/Einzelstumpfmodell;0;10,06;10,59
0053;0053;Stumpfmodell/Modell nach Überabdruck;0;10,06;10,59
0054;0054;Stumpfmodell/Set-up Modell;0;10,04;10,57
0055;0055;Stumpfmodell/Fräsmodell;0;10,06;10,59
0060;0060;Zahnkranz;0;5,11;5,38
0070;0070;Zahnkranz sockeln;0;5,39;5,67
0111;0111;Modellpaar trimmen;0;9,54;10,04
0112;0112;Fixator;0;8,16;8,59
0120;0120;Mittelwertartikulator;0;9,22;9,70
0128;0128;Mittelwertartikulator bei Implantatvers.;0;9,22;9,70
0130;0130;Modellpaar sockeln;0;21,28;22,40
0201;0201;Basis für Vorbissnahme;0;8,51;8,96
0202;0202;Basis für Konstruktionsbiss;0;7,27;7,65
0211;0211;Basis Autopolym./Individueller Löffel;0;21,43;22,56
0212;0212;Basis Autopolym./Funktionslöffel;0;21,43;22,56
0213;0213;Basis Autopolym./Bissregistrierung;0;21,43;22,56
0214;0214;Basis Autopolym./Stützstiftregistrierung;0;21,43;22,56
0215;0215;Basis Autopolym./Kunststoffbasis f. Aufstell.;0;21,43;22,56
0216;0216;Basis für Bissregistr. bei Implantatvers.;0;21,43;22,56
0218;0218;Basis für Aufstellung bei Implantatvers.;0;21,43;22,56
0220;0220;Bisswall;0;6,18;6,51
0228;0228;Bisswall bei Implantatversorgung;0;6,18;6,51
0230;0230;Registrierplatte und -stift auf Basen;0;27,56;29,01
0240;0240;Übertragungskappe Kunststoff/Metall;0;23,60;24,84
0310;0310;Provisorische Krone/Brückenglied;0;31,56;33,22
0320;0320;Formteil;0;17,10;18,00
1013;1013;Wurzelstiftkappe;0;73,52;77,39
1021;1021;Vollkrone, Metall;0;79,01;83,17
1022;1022;Teilkrone, Metall;0;79,01;83,17
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;77,37;81,44
