10;10;Modell;0;6,65;7,00;;;;;;;;
18;18;Modell bei Implantatversorgung;0;6,65;7,00;;;;;;;;
21;21;Doublieren eines Modells;0;13,99;14,73;;;;;;;;
22;22;Platzhalter einfügen;0;14,08;14,83;;;;;;;;
23;23;Verwendung von Kunststoff;0;14,08;14,83;;;;;;;;
24;24;Galvanisieren;0;14,08;14,83;;;;;;;;
30;30;Set-up je Segmet;0;6,02;6,35;;;;;;;;
51;51;Sägemodell;0;10,66;11,22;;;;;;;;
52;52;Einzelstumpfmodell;0;10,66;11,22;;;;;;;;
53;53;Modell nach Überabdruck;0;10,66;11,22;;;;;;;;
54;54;Set-up Modell für KFO;0;10,36;10,91;;;;;;;;
55;55;Fräsmodell;0;10,66;11,22;;;;;;;;
60;60;Zahnkranz;0;5,41;5,70;;;;;;;;
70;70;Zahnkranz sockeln;0;5,70;6,01;;;;;;;;
111;111;Modellpaar trimmen;0;6,90;7,27;;;;;;;;
112;112;Fixator;0;8,65;9,11;;;;;;;;
120;120;Mittelwertartikulator;0;9,77;10,29;;;;;;;;
128;128;Mittelwertartikulator bei Implantatversorgung;0;9,77;10,29;;;;;;;;
130;130;Modellpaar sockeln;0;6,90;7,27;;;;;;;;
201;201;Basis für Vorbissnahme;0;9,03;9,51;;;;;;;;
202;202;Basis für Konstruktionsbiss;0;12,06;12,70;;;;;;;;
211;211;Individueller Löffel;0;22,74;23,94;;;;;;;;
212;212;Funktionslöffel;0;22,74;23,94;;;;;;;;
213;213;Basis für Bissregistrierung;0;22,74;23,94;;;;;;;;
214;214;Basis für Stützstiftregistrierung;0;22,74;23,94;;;;;;;;
215;215;Basis für Aufstellung;0;22,74;23,94;;;;;;;;
216;216;Basis für Bissregistr. bei Implantatversorgung;0;22,74;23,94;;;;;;;;
218;218;Basis für Aufstellung bei Implantatversorgung;0;22,74;23,94;;;;;;;;
220;220;Bisswall;0;6,56;6,91;;;;;;;;
228;228;Bisswall bei Implantatversorgung;0;6,56;6,91;;;;;;;;
230;230;Registrierplatte und -stift auf Basen;0;29,23;30,78;;;;;;;;
240;240;Übertragungskappe Kunststoff/Metall;0;25,03;26,36;;;;;;;;
310;310;Provisorische Krone/Brückenglied;0;33,48;35,25;;;;;;;;
320;320;Formteil;0;18,14;19,10;;;;;;;;
1013;1013;Wurzelstiftkappe;0;78,01;82,12;;;;;;;;
1021;1021;Vollkrone/Metall;0;83,84;88,26;;;;;;;;
1022;1022;Teilkrone/Metall;0;83,84;88,26;;;;;;;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;82,10;86,43;;;;;;;;
1024;1024;Krone für vestibuläre Verblendung;0;83,17;87,55;;;;;;;;
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;83,84;88,26;;;;;;;;
1028;1028;Krone f. vestib. Verbl. bei Implantatversorgung;0;83,17;87,55;;;;;;;;
1031;1031;Vorbereiten Krone;0;14,00;14,74;;;;;;;;
1032;1032;Krone/Brückenglied einarbeiten;0;14,00;14,74;;;;;;;;
1033;1033;Stiftaufbau einarbeiten;0;14,00;14,74;;;;;;;;
1040;1040;Modellation gießen;0;18,23;19,19;;;;;;;;
1050;1050;Stiftaufbau;0;55,16;58,07;;;;;;;;
1100;1100;Brückenglied;0;60,00;63,17;;;;;;;;
1200;1200;Teleskopierende Krone;0;261,25;275,01;;;;;;;;
1201;1201;Teleskopierende Primär- o. Sekundärkrone;0;174,34;183,52;;;;;;;;
1331;1331;Individuelles Geschiebe;0;218,29;229,78;;;;;;;;
1341;1341;Konfektions-Geschiebe;0;108,16;113,86;;;;;;;;
1343;1343;Konfektions-Anker;0;108,16;113,86;;;;;;;;
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;71,96;75,76;;;;;;;;
1349;1349;Wiederbef. Sek.-Teil;0;71,96;75,76;;;;;;;;
1360;1360;Gefrästes Lager;0;51,97;54,72;;;;;;;;
1370;1370;Schubverteilungsarm;0;38,98;41,03;;;;;;;;
1500;1500;Metallverbindung nach Brand;0;29,06;30,60;;;;;;;;
1550;1550;Konditionierung je Zahn/Flügel;0;13,84;14,57;;;;;;;;
1600;1600;Vestibuläre Verblendung Kunststoff;0;47,47;49,97;;;;;;;;
1610;1610;Zahnfleisch Kunststoff;0;15,10;15,90;;;;;;;;
1620;1620;Vestibuläre Verblendung Keramik;0;97,51;102,65;;;;;;;;
1628;1628;Vestib. Verbl. Keramik bei Implantatversorgung;0;97,51;102,65;;;;;;;;
1630;1630;Zahnfleisch Keramik;0;34,85;36,69;;;;;;;;
1638;1638;Zahnfleisch Keramik bei Implantatversorgung;0;34,85;36,69;;;;;;;;
1640;1640;Vestibuläre Verblendung Komposite;0;74,23;78,14;;;;;;;;
1650;1650;Zahnfleisch Komposite;0;20,12;21,19;;;;;;;;
2010;2010;Metallbasis;0;141,76;149,23;;;;;;;;
2021;2021;Einarmige gegossene Haltevorrichtung;0;12,14;12,79;;;;;;;;
2025;2025;Kralle;0;12,14;12,79;;;;;;;;
2026;2026;Ney-Stiel;0;12,14;12,79;;;;;;;;
2027;2027;Auflage;0;12,14;12,79;;;;;;;;
2028;2028;Umgehungsbügel bei Diastema;0;12,14;12,79;;;;;;;;
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;22,22;23,39;;;;;;;;
2041;2041;Zweiarmige gegossene Halte- und Stützvorrichtung/Auflage;0;30,03;31,62;;;;;;;;
2050;2050;Bonwillklammer;0;54,78;57,67;;;;;;;;
2081;2081;Rückenschutzplatte;0;39,66;41,75;;;;;;;;
2082;2082;Metallzahn, gegossen;0;39,66;41,75;;;;;;;;
2083;2083;Metallkaufläche, gegossen;0;39,66;41,75;;;;;;;;
2100;2100;Lösungshilfe;0;11,47;12,08;;;;;;;;
2110;2110;Unterfütterbarer Abschlussrand;0;18,30;19,27;;;;;;;;
2120;2120;Zuschlag einzelne gegossene Klammer;0;19,03;20,03;;;;;;;;
3010;3010;Aufstellung Grundeinheit;0;29,85;31,43;;;;;;;;
3018;3018;Aufstellung Grundeinh. bei Implantatversorgung;0;29,85;31,43;;;;;;;;
3020;3020;Aufstellen Wachs oder Kunststoff je Zahn;0;1,78;1,88;;;;;;;;
3028;3028;Aufst. Wachs oder Kunststoff je Zahn bei Implantatversorgung;0;1,78;1,88;;;;;;;;
3030;3030;Aufstellen Metall je Zahn;0;2,35;2,48;;;;;;;;
3410;3410;Übertragung je Zahn;0;1,47;1,55;;;;;;;;
3610;3610;Fertigstellung Grundeinheit;0;50,14;52,78;;;;;;;;
3618;3618;Fertigst. Grundeinheit bei Implantatversorgung;0;50,14;52,78;;;;;;;;
3620;3620;Fertigstellen je Zahn;0;3,23;3,40;;;;;;;;
3628;3628;Fertigstellen je Zahn bei Implantatversorgung;0;3,23;3,40;;;;;;;;
3800;3800;Einfache gebogene Halte-/Stützvorrichtung;0;9,89;10,42;;;;;;;;
3805;3805;Gebogene Auflage;0;9,89;10,42;;;;;;;;
3810;3810;Sonstige gebogene Halte-/Stützvorrichtung;0;16,71;17,60;;;;;;;;
