Kürzel;Nr.;Bezeichnung;Kassenart;Preis Kons Praxislabor;Preis Kons Gewerbelabor;Preis ZE Praxislabor;Preis ZE Gewerbelabor;Preis KFO Praxislabor;Preis KFO Gewerbelabor;Preis KB Praxislabor;Preis KB Gewerbelabor;Preis PA Praxislabor;Preis PA Gewerbelabor
0010;0010;Modell;0;6,78;7,14;;;;;;;;
0015;0015;Modell UKPS;0;6,78;7,14;;;;;;;;
0018;0018;Modell bei Implantatversorgung;0;6,78;7,14;;;;;;;;
0021;0021;Doublieren eines Modells;0;12,58;13,24;;;;;;;;
0022;0022;Platzhalter einfügen;0;13,75;14,47;;;;;;;;
0023;0023;Verwendung von Kunststoff;0;13,75;14,47;;;;;;;;
0024;0024;Galvanisieren;0;13,75;14,47;;;;;;;;
0025;0025;Doublieren eines Modells UKPS;0;12,58;13,24;;;;;;;;
0030;0030;Set-up je Segment;0;10,82;11,39;;;;;;;;
0051;0051;Sägemodell;0;15,99;16,83;;;;;;;;
0052;0052;Einzelstumpfmodell;0;15,99;16,83;;;;;;;;
0053;0053;Modell nach Überabdruck;0;15,99;16,83;;;;;;;;
0054;0054;Set-up-Modell für KFO;0;10,96;11,54;;;;;;;;
0055;0055;Fräsenmodell;0;10,88;11,46;;;;;;;;
0060;0060;Zahnkranz;0;5,52;5,81;;;;;;;;
0070;0070;Zahnkranz sockeln;0;5,83;6,14;;;;;;;;
0111;0111;Modellpaar trimmen;0;9,2;9,69;;;;;;;;
0112;0112;Fixator;0;8,84;9,31;;;;;;;;
0115;0115;Fixator UKPS;0;8,84;9,31;;;;;;;;
0120;0120;Mittelwertartikulator;0;9,97;10,5;;;;;;;;
0125;0125;Mittelwertartikulator UKPS;0;9,97;10,5;;;;;;;;
0128;0128;Mittelwertartikulator bei Implantatv.;0;9,97;10,5;;;;;;;;
0130;0130;Modellpaar sockeln;0;19,02;20,02;;;;;;;;
0201;0201;Basis für Vorbissnahme;0;8,82;9,29;;;;;;;;
0202;0202;Basis für Konstruktionsbiss;0;8,35;8,79;;;;;;;;
0205;0205;Vorbereiten Bißgabel UKPS;0;8,35;8,79;;;;;;;;
0211;0211;Individueller Löffel;0;23,26;24,48;;;;;;;;
0212;0212;Funktionslöffel;0;23,26;24,48;;;;;;;;
0213;0213;Basis für Bissregistrierung;0;23,26;24,48;;;;;;;;
0214;0214;Basis für Stützstiftregistrierung;0;23,26;24,48;;;;;;;;
0215;0215;Basis für Aufstellung;0;23,26;24,48;;;;;;;;
0216;0216;Basis für Bissregistr. bei Implantatv.;0;23,26;24,48;;;;;;;;
0217;0217;Individueller Löffel UKPS;0;23,26;24,48;;;;;;;;
0218;0218;Basis für Aufstellung bei Implantatv.;0;23,26;24,48;;;;;;;;
0220;0220;Bisswall;0;6,68;7,03;;;;;;;;
0228;0228;Bisswall bei Implantatversorgung;0;6,68;7,03;;;;;;;;
0230;0230;Registrierplatte u.- stift auf Basis;0;29,84;31,41;;;;;;;;
0240;0240;Übertragungskappe Kunststoff /Metall;0;25,55;26,9;;;;;;;;
0310;0310;Provisorische Krone/Brückenglied;0;33,04;34,78;;;;;;;;
0320;0320;Formteil;0;18,25;19,21;;;;;;;;
1013;1013;Wurzelstiftkappe;0;79,65;83,84;;;;;;;;
1021;1021;Vollkrone/Metall;0;85,61;90,11;;;;;;;;
1022;1022;Teilkrone/ Metall;0;84,97;89,44;;;;;;;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;83,77;88,18;;;;;;;;
1024;1024;Krone für vestibuläre Verblendung;0;84,89;89,36;;;;;;;;
1026;1026;Vollkrone/Metall bei Implantatv.;0;85,61;90,11;;;;;;;;
1028;1028;Krone f. vestib. Verbl. bei Implantatv.;0;84,89;89,36;;;;;;;;
1031;1031;Vorbereiten Krone;0;13,67;14,39;;;;;;;;
1032;1032;Krone/Brückenglied einarbeiten;0;13,67;14,39;;;;;;;;
1033;1033;Stiftaufbau einarbeiten;0;13,67;14,39;;;;;;;;
1040;1040;Modellation gießen;0;18,61;19,59;;;;;;;;
1050;1050;Stiftaufbau;0;56,3;59,27;;;;;;;;
1100;1100;Brückenglied;0;61,25;64,47;;;;;;;;
1200;1200;Teleskopierende Krone;0;265,39;279,36;;;;;;;;
1201;1201;Tel. Primär- o. Sekundärkrone;0;177,97;187,34;;;;;;;;
1331;1331;Individuelles Geschiebe;0;222,86;234,58;;;;;;;;
1341;1341;Konfektions-Geschiebe;0;110,46;116,28;;;;;;;;
1343;1343;Konfektions-Anker;0;110,46;116,28;;;;;;;;
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;73,47;77,34;;;;;;;;
1349;1349;Wiederbef.  Sek.-Teil;0;73,47;77,34;;;;;;;;
1360;1360;Gefrästes Lager;0;53,08;55,87;;;;;;;;
1370;1370;Schubverteilungsarm;0;38,05;40,06;;;;;;;;
1500;1500;Metallverblendung nach Brand;0;29,69;31,25;;;;;;;;
1550;1550;Konditionierung je Zahn/ Flügel;0;14,12;14,86;;;;;;;;
1600;1600;Vestib. Verblendung Kunststoff;0;48,48;51,03;;;;;;;;
1610;1610;Zahnfleisch Kunststoff;0;15,45;16,26;;;;;;;;
1620;1620;Vestib. Verblendung Keramik;0;99,06;104,27;;;;;;;;
1628;1628;Vestib.Verbl. Keramik bei Implantatv.;0;99,06;104,27;;;;;;;;
1630;1630;Zahnfleisch Keramik;0;35,59;37,46;;;;;;;;
1638;1638;Zahnfleisch Keramik bei Implantatv.;0;35,59;37,46;;;;;;;;
1640;1640;Vestibuläre Verblendung Komposite;0;75,76;79,75;;;;;;;;
1650;1650;Zahnfleisch Komposite;0;20,53;21,61;;;;;;;;
2010;2010;Metallbasis;0;144,73;152,35;;;;;;;;
2021;2021;Einarmige gegossene Haltevorrichtung;0;12,38;13,03;;;;;;;;
2025;2025;Kralle;0;12,38;13,03;;;;;;;;
2026;2026;Ney-Stil;0;12,38;13,03;;;;;;;;
2027;2027;Auflage;0;12,38;13,03;;;;;;;;
2028;2028;Umgehungsbügel bei Diastema;0;12,38;13,03;;;;;;;;
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;22,69;23,88;;;;;;;;
2041;2041;Zweiarmige geg. Halte-Stützv.mit Auflage;0;30,65;32,26;;;;;;;;
2050;2050;Bonwillklammer;0;55,94;58,88;;;;;;;;
2081;2081;Rückenschutzplatte;0;40,48;42,62;;;;;;;;
2082;2082;Metallzahn, gegossen;0;40,48;42,62;;;;;;;;
2083;2083;Metallkaufläche, gegossen;0;40,48;42,62;;;;;;;;
2100;2100;Lösungshilfe;0;11,72;12,34;;;;;;;;
2110;2110;Unterfütterbarer Abschlussrand;0;18,67;19,65;;;;;;;;
2120;2120;Zuschlag einzelne gegossene Klammer;0;18,58;19,56;;;;;;;;
3010;3010;Aufstellung Grundeinheit;0;30,47;32,08;;;;;;;;
3018;3018;Aufstellung Grundeinh. bei Implantatv.;0;30,47;32,08;;;;;;;;
3020;3020;Aufstellen Wachs od Kunststoff je Zahn;0;1,83;1,92;;;;;;;;
3028;3028;Aufst. Wachs o Kunst je Zahn bei Impltv.;0;1,83;1,92;;;;;;;;
3030;3030;Aufstellen Metall je Zahn;0;2,3;2,42;;;;;;;;
3410;3410;Übertragung je Zahn;0;1,51;1,58;;;;;;;;
3610;3610;Fertigstellung Grundeinheit;0;51,19;53,88;;;;;;;;
3618;3618;Fertigst. Grundeinheit bei Implantatv.;0;51,19;53,88;;;;;;;;
3620;3620;Fertigstellen je Zahn;0;3,3;3,47;;;;;;;;
3628;3628;Fertigstellen je Zahn bei Implantatv.;0;3,3;3,47;;;;;;;;
3800;3800;Einfache gebogene Halte/Stützvorrichtung;0;10,09;10,62;;;;;;;;
3805;3805;gebogene Auflage;0;10,09;10,62;;;;;;;;
3810;3810;Sonstige gebogene Halte u./o. Stützvor;0;17,07;17,97;;;;;;;;
3821;3821;Weichkunststoff;0;55,29;58,2;;;;;;;;
3822;3822;Sonderkunststoff;0;55,29;58,2;;;;;;;;
3830;3830;Zahn zahnfarben hergestellt;0;23,17;24,39;;;;;;;;
3840;3840;Zahn/ zahnfarben hinterlegt;0;12,14;12,78;;;;;;;;
4010;4010;Aufbissbehelf m. adj. Oberfläche;0;93,2;98,11;;;;;;;;
4020;4020;Aufbissbehelf o. adj. Oberfläche;0;66,62;70,12;;;;;;;;
4030;4030;Umarbeiten zum Aufbissbehelf;0;48,46;51,01;;;;;;;;
4040;4040;Semipermanente Schiene Metall, je Zahn;0;32,43;34,14;;;;;;;;
5010;5010;Basen UKPS;0;261,02;274,76;;;;;;;;
5020;5020;Vestibuläre Protrusionsgleitflächen UKPS;0;19,97;21,02;;;;;;;;
5100;5100;Befestigungsel. Protrusionselement UKPS;0;18,74;19,73;;;;;;;;
5110;5110;Montage Protrusionselement UKPS;0;18,74;19,73;;;;;;;;
5200;5200;Befestigungsel. Mundöffnungsbegr. UKPS;0;10,09;10,62;;;;;;;;
5210;5210;Einf. gebogenes Halteelement für UKPS;0;10,09;10,62;;;;;;;;
7010;7010;Basis für Einzelkiefergeräte;0;61,61;64,85;;;;;;;;
7020;7020;Basis bimaxilläres Gerät;0;107,62;113,29;;;;;;;;
7030;7030;Schiefe Ebene;0;48,62;51,18;;;;;;;;
7040;7040;Vorhofplatte;0;61,66;64,9;;;;;;;;
7050;7050;Kinnkappe;0;45,67;48,08;;;;;;;;
7100;7100;Aufbiss;0;11,28;11,88;;;;;;;;
7110;7110;Abschirmelement;0;19,97;21,02;;;;;;;;
7121;7121;Weichkunststoff (KFO);0;26,46;27,86;;;;;;;;
7122;7122;Sonderkunststoff (KFO);0;26,46;27,86;;;;;;;;
7200;7200;Schraube einarbeiten;0;18,74;19,73;;;;;;;;
7210;7210;Spezialschraube einarbeiten;0;27,81;29,27;;;;;;;;
7220;7220;Trennen einer Basis;0;6,81;7,17;;;;;;;;
7300;7300;Labialbogen;0;23,94;25,2;;;;;;;;
7310;7310;Labialbogen modifiziert;0;30,37;31,97;;;;;;;;
7320;7320;Labialbogen intermaxillär;0;34,71;36,54;;;;;;;;
7330;7330;Feder, offen;0;10,44;10,99;;;;;;;;
7340;7340;Feder, geschlossen;0;13,02;13,71;;;;;;;;
7400;7400;Verbindungselement / intramaxillär;0;27,81;29,27;;;;;;;;
7410;7410;Verbindungselemente / intermaxillär;0;26,37;27,76;;;;;;;;
7420;7420;Verankerungselement;0;23,83;25,09;;;;;;;;
7430;7430;Einzelelement einarbeiten;0;13,06;13,75;;;;;;;;
7440;7440;Metallverbindung (KFO);0;7,31;7,69;;;;;;;;
7500;7500;Einarmiges H-/A-Element;0;9,57;10,07;;;;;;;;
7510;7510;Mehrarmiges H-/A-Element;0;11,89;12,51;;;;;;;;
8010;8010;Grundeinheit Instands. ZE;0;19,75;20,79;;;;;;;;
8018;8018;Grundeinh. Instands. ZE/implantatgest.;0;19,75;20,79;;;;;;;;
8021;8021;LE Sprung;0;8,49;8,94;;;;;;;;
8022;8022;LE Bruch;0;8,49;8,94;;;;;;;;
8023;8023;LE Einarbeiten Zahn;0;8,49;8,94;;;;;;;;
8024;8024;LE Basisteil Kunststoff;0;8,49;8,94;;;;;;;;
8025;8025;LE Halte u./od.Stützvorr.einarbeiten;0;8,49;8,94;;;;;;;;
8026;8026;LE Rückenschutzplatte einarbeiten;0;8,49;8,94;;;;;;;;
8027;8027;LE Kunststoffsattel;0;8,49;8,94;;;;;;;;
8030;8030;Retention, gebogen;0;35,35;37,21;;;;;;;;
8040;8040;Retention, gegossen;0;44,65;47;;;;;;;;
8060;8060;Gegossenes Basisteil;0;70,8;74,53;;;;;;;;
8070;8070;Metallverbindung bei Instads./Erweiterun;0;17,75;18,68;;;;;;;;
8080;8080;Teilunterfütterung einer Basis;0;36,24;38,15;;;;;;;;
8085;8085;Teilunterfütterung Basis UKPS;0;36,24;38,15;;;;;;;;
8088;8088;Teilunterfütterung/implantatgest.;0;36,24;38,15;;;;;;;;
8090;8090;Vollständige Unterfütterung;0;58;61,06;;;;;;;;
8098;8098;Vollst.Unterfütterung/implantatgest.;0;58;61,06;;;;;;;;
8100;8100;Prothesenbasis erneuern;0;70,97;74,7;;;;;;;;
8108;8108;Prothsenbasis erneuern/ Implantatv.;0;70,97;74,7;;;;;;;;
8130;8130;Auswechseln Konfektionsteil;0;12,42;13,08;;;;;;;;
8200;8200;InstandsetzungKrone/Flügel/Brückengl.;0;36,5;38,42;;;;;;;;
8208;8208;Instandsetzung Krone/implantatgestützt;0;36,5;38,42;;;;;;;;
8500;8500;Grundeinheit Instandsetz./Erweit. UKPS;0;51,34;54,04;;;;;;;;
8511;8511;LE Erneuerung Basis UKPS;0;130,51;137,38;;;;;;;;
8512;8512;LE Sprung/Bruch UKPS;0;8,49;8,94;;;;;;;;
8513;8513;LE Basisteil Kunststoff UKPS;0;8,49;8,94;;;;;;;;
8514;8514;LE Halte-u./o. Stützvorr. einarb. UKPS;0;8,49;8,94;;;;;;;;
8610;8610;Grundeinheit/Instands.KFO od.Aufbissbehe;0;17,29;18,2;;;;;;;;
8620;8620;LE Einfügen Regulieru.od.Halteelement;0;7,49;7,88;;;;;;;;
8630;8630;LE Erneuerung eines Elementes/intermaxil;0;13,2;13,9;;;;;;;;
8640;8640;KFO-Basis erneuern;0;66,89;70,41;;;;;;;;
8700;8700;Remontieren KFO-Gerät;0;34,35;36,15;;;;;;;;
9330;9330;Versandkosten;0;0;6,08;;;;;;;;
9335;9335;Versandkosten UKPS;0;0;6,08;;;;;;;;
9338;9338;Versandkosten bei Implantatv.;0;0;6,08;;;;;;;;
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;13,23;13,93;;;;;;;;
