kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
10;10;Modell;0;;;7,04;7,41;7,04;7,41;7,04;7,41;0;0
15;15;Modell UKPS;0;;;;;;;7,09;7,46;0;0
18;18;Modell bei Implantatversorgung;0;;;7,04;7,41;;;7,04;7,41;0;0
21;21;Doublieren eines Modells;0;;;16,59;17,46;16,59;17,46;16,59;17,46;0;0
22;22;Platzhalter einfügen;0;;;14,90;15,68;;;14,90;15,68;0;0
23;23;Verwendung von Kunststoff;0;;;14,90;15,68;;;14,90;15,68;0;0
24;24;Galvanisieren;0;;;14,90;15,68;;;14,90;15,68;0;0
25;25;Doublieren eines Modells UKPS;0;;;;;;;16,59;17,46;0;0
30;30;Set-up je Segment;0;;;10,71;11,27;10,71;11,27;10,71;11,27;0;0
51;51;Sägemodell;0;;;16,58;17,45;;;16,58;17,45;0;0
52;52;Einzelstumpfmodell;0;;;16,58;17,45;;;16,58;17,45;0;0
53;53;Modell nach Überabdruck;0;;;16,58;17,45;;;16,58;17,45;0;0
54;54;Set-up Modell für KFO;0;;;12,29;12,94;12,29;12,94;12,29;12,94;0;0
55;55;Fräsmodell;0;;;11,29;11,88;;;11,29;11,88;0;0
60;60;Zahnkranz;0;;;5,47;5,76;;;5,47;5,76;0;0
70;70;Zahnkranz sockeln;0;;;5,83;6,14;5,83;6,14;5,83;6,14;0;0
111;111;Modellpaar trimmen;0;;;9,61;10,12;9,61;10,12;9,61;10,12;0;0
112;112;Fixator;0;;;9,16;9,64;9,16;9,64;9,16;9,64;0;0
115;115;Fixator UKPS;0;;;;;;;9,22;9,71;0;0
120;120;Mittelwertartikulator;0;;;10,34;10,88;10,34;10,88;10,34;10,88;0;0
125;125;Mittelwertartikulator UKPS;0;;;;;;;10,41;10,96;0;0
128;128;Mittelwertartikulator bei Implantatversorgung;0;;;10,34;10,88;;;10,34;10,88;0;0
130;130;Modellpaar sockeln;0;;;25,81;27,17;25,81;27,17;25,81;27,17;0;0
201;201;Basis für Vorbissnahme;0;;;9,57;10,07;;;9,57;10,07;0;0
202;202;Basis für Konstruktionsbiss;0;;;9,65;10,16;9,65;10,16;9,65;10,16;0;0
205;205;Vorbereiten Bissgabel UKPS;0;;;;;;;9,62;10,13;0;0
211;211;Individueller Löffel;0;;;23,83;25,08;;;23,83;25,08;0;0
212;212;Funktionslöffel;0;;;23,83;25,08;;;23,83;25,08;0;0
213;213;Basis für Bissregistrierung;0;;;23,83;25,08;23,83;25,08;23,83;25,08;0;0
214;214;Basis für Stützstiftregistrierung;0;;;23,36;24,59;;;23,36;24,59;0;0
215;215;Basis für Aufstellung;0;;;23,83;25,08;;;23,83;25,08;0;0
216;216;Basis für Bissregistr. bei Implantatversorgung;0;;;23,36;24,59;;;23,36;24,59;0;0
217;217;Individueller Löffel UKPS;0;;;;;;;23,51;24,75;0;0
218;218;Basis für Aufstellung bei Implantatversorgung;0;;;23,36;24,59;;;23,36;24,59;0;0
220;220;Bisswall;0;;;6,94;7,31;6,94;7,31;6,94;7,31;0;0
228;228;Bisswall bei Implantatversorgung;0;;;6,94;7,31;;;6,94;7,31;0;0
230;230;Registrierplatte und -stift auf Basen;0;;;30,93;32,56;;;30,93;32,56;0;0
240;240;Übertragungskappe Kunststoff/Metall;0;;;26,49;27,88;;;26,49;27,88;0;0
310;310;Provisorische Krone/Brückenglied;0;;;33,85;35,63;;;33,85;35,63;0;0
320;320;Formteil;0;;;19,19;20,20;;;19,19;20,20;0;0
1013;1013;Wurzelstiftkappe;0;;;81,35;85,63;;;81,35;85,63;0;0
1021;1021;Vollkrone/Metall;0;;;87,88;92,51;;;87,88;92,51;0;0
1022;1022;Teilkrone/Metall;0;;;88,72;93,39;;;88,72;93,39;0;0
