Kuerzel;Nr;Bezeichnung;Kassenart;KCH Praxis;KCH Gewerbe;ZE Praxis;ZE Gewerbe;KFO Praxis;KFO Gewerbe;KB Praxis;KB Gewerbe;PA Praxis;PA Gewerbe
0010;0010;Modell;0;0,00;0,00;7,04;7,41;6,92;7,28;6,92;7,28;0,00;0,00
0015;0015;Modell UKPS;0;0,00;0,00;0,00;0,00;6,99;7,36;6,99;7,36;0,00;0,00
0021;0021;Doublieren eines Modells;0;0,00;0,00;0,00;0,00;13,30;14,00;13,30;14,00;0,00;0,00
0025;0025;Doublieren Modell UKPS;0;0,00;0,00;0,00;0,00;13,30;14,00;13,30;14,00;0,00;0,00
0030;0030;Set-up je Segment;0;0,00;0,00;0,00;0,00;9,35;9,84;9,35;9,84;0,00;0,00
0054;0054;Set-up-Modell für KFO;0;0,00;0,00;0,00;0,00;9,60;10,11;9,60;10,11;0,00;0,00
0060;0060;Zahnkranz;0;0,00;0,00;5,35;5,63;5,34;5,62;5,34;5,62;0,00;0,00
0070;0070;Zahnkranz sockeln;0;0,00;0,00;5,47;5,76;5,65;5,95;5,65;5,95;0,00;0,00
0111;0111;Modellpaar trimmen;0;0,00;0,00;0,00;0,00;10,58;11,14;10,58;11,14;0,00;0,00
0112;0112;Fixator;0;0,00;0,00;9,17;9,65;9,16;9,64;9,16;9,64;0,00;0,00
0115;0115;Fixator UKPS;0;0,00;0,00;0,00;0,00;9,16;9,64;9,16;9,64;0,00;0,00
0120;0120;Mittelwertartikulator;0;0,00;0,00;10,35;10,89;10,22;10,76;10,22;10,76;0,00;0,00
0125;0125;Mittelwertartikulator UKPS;0;0,00;0,00;0,00;0,00;10,33;10,87;10,33;10,87;0,00;0,00
0130;0130;Modellpaar sockeln;0;0,00;0,00;0,00;0,00;21,05;22,16;21,05;22,16;0,00;0,00
0202;0202;Basis für Konstruktionsbiss;0;0,00;0,00;0,00;0,00;8,00;8,42;8,00;8,42;0,00;0,00
0205;0205;Vorbereiten Bissgabel UKPS;0;0,00;0,00;0,00;0,00;8,00;8,42;8,00;8,42;0,00;0,00
0213;0213;Basis für Bissregistrierung;0;0,00;0,00;24,06;25,33;23,82;25,07;23,82;25,07;0,00;0,00
0217;0217;Individueller Löffel UKPS;0;0,00;0,00;0,00;0,00;23,49;24,73;23,49;24,73;0,00;0,00
0220;0220;Bisswall;0;0,00;0,00;6,94;7,31;6,71;7,06;6,71;7,06;0,00;0,00
1550;1550;Konditionierung je Zahn / Flügel;0;0,00;0,00;14,65;15,42;14,49;15,25;14,49;15,25;0,00;0,00
1600;1600;Vestibuläre Verblendung Kunststoff;0;0,00;0,00;46,13;48,56;48,14;50,67;48,14;50,67;0,00;0,00
1610;1610;Zahnfleisch Kunststoff;0;0,00;0,00;15,32;16,13;15,32;16,13;15,32;16,13;0,00;0,00
1640;1640;Vestibuläre Verblendung Komposit;0;0,00;0,00;78,56;82,69;77,68;81,77;77,68;81,77;0,00;0,00
1650;1650;Zahnfleisch Komposit;0;0,00;0,00;19,60;20,63;20,09;21,15;20,09;21,15;0,00;0,00
2010;2010;Metallbasis;0;0,00;0,00;150,01;157,91;149,07;156,92;149,07;156,92;0,00;0,00
2021;2021;Einarmige gegossene Haltevorrichtung;0;0,00;0,00;12,40;13,05;12,11;12,75;12,11;12,75;0,00;0,00
2025;2025;Kralle;0;0,00;0,00;11,67;12,28;12,11;12,75;12,11;12,75;0,00;0,00
2026;2026;Ney-Stiel;0;0,00;0,00;12,37;13,02;12,11;12,75;12,11;12,75;0,00;0,00
2027;2027;Auflage;0;0,00;0,00;12,52;13,18;12,11;12,75;12,11;12,75;0,00;0,00
2028;2028;Umgehungsbügel bei Diastema;0;0,00;0,00;11,69;12,30;12,11;12,75;12,11;12,75;0,00;0,00
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;0,00;0,00;22,49;23,67;22,18;23,35;22,18;23,35;0,00;0,00
2041;2041;Zweiarmige gegossene Halte- und Stützvorrichtung mit Auflage;0;0,00;0,00;31,78;33,45;31,43;33,08;31,43;33,08;0,00;0,00
2050;2050;Bonwillklammer;0;0,00;0,00;54,07;56,92;56,90;59,89;56,90;59,89;0,00;0,00
2081;2081;Rückenschutzplatte;0;0,00;0,00;38,06;40,06;39,88;41,98;39,88;41,98;0,00;0,00
2082;2082;Metallzahn, gegossen;0;0,00;0,00;37,97;39,97;39,55;41,63;39,55;41,63;0,00;0,00
2083;2083;Metallkaufläche, gegossen;0;0,00;0,00;38,11;40,12;39,55;41,63;39,55;41,63;0,00;0,00
