Kürzel;Nr.;Bezeichnung;Kassenart;Preis Kons Praxislabor;Preis Kons Gewerbelabor;Preis ZE Praxislabor;Preis ZE Gewerbelabor;Preis KFO Praxislabor;Preis KFO Gewerbelabor;Preis KB Praxislabor;Preis KB Gewerbelabor;Preis PA Praxislabor;Preis PA Gewerbelabor;
0010;0010;Modell;0;7,34;7,73;;;;;;;;;
0015;0015;Modell UKPS;0;7,34;7,73;;;;;;;;;
0018;0018;Modell bei Implantatversorgung;0;7,34;7,73;;;;;;;;;
0021;0021;Doublieren eines Modells;0;13,54;14,25;;;;;;;;;
0022;0022;Platzhalter einfügen;0;15,53;16,35;;;;;;;;;
0023;0023;Verwendung von Kunststoff;0;15,53;16,35;;;;;;;;;
0024;0024;Galvanisieren;0;15,53;16,35;;;;;;;;;
0025;0025;Doublieren eines Modells UKPS;0;13,54;14,25;;;;;;;;;
0030;0030;Set-up je Segment;0;11,27;11,86;;;;;;;;;
0051;0051;Sägemodell;0;17,28;18,19;;;;;;;;;
0052;0052;Einzelstumpfmodell;0;17,28;18,19;;;;;;;;;
0053;0053;Modell nach Überabdruck;0;17,28;18,19;;;;;;;;;
0054;0054;Set-up-Modell für KFO;0;11,94;12,57;;;;;;;;;
0055;0055;Fräsmodell;0;11,76;12,38;;;;;;;;;
0060;0060;Zahnkranz;0;5,97;6,28;;;;;;;;;
0070;0070;Zahnkranz sockeln;0;6,3;6,63;;;;;;;;;
0111;0111;Modellpaar trimmen;0;9,75;10,26;;;;;;;;;
0112;0112;Fixator;0;9,56;10,06;;;;;;;;;
0115;0115;Fixator UKPS;0;9,56;10,06;;;;;;;;;
0120;0120;Mittelwertartikulator;0;10,78;11,35;;;;;;;;;
0125;0125;Mittelwertartikulator UKPS;0;10,78;11,35;;;;;;;;;
0128;0128;Mittelwertartikulator bei Implantatversorgung;0;10,78;11,35;;;;;;;;;
0130;0130;Modellpaar sockeln;0;26,21;27,59;;;;;;;;;
0201;0201;Basis für Vorbissnahme;0;9,97;10,49;;;;;;;;;
0202;0202;Basis für Konstruktionsbiss;0;9,9;10,42;;;;;;;;;
0205;0205;Vorbereiten Bissgabel UKPS;0;9,9;10,42;;;;;;;;;
0211;0211;Individueller Löffel;0;25,08;26,4;;;;;;;;;
0212;0212;Funktionslöffel;0;25,08;26,4;;;;;;;;;
0213;0213;Basis für Bissregistrierung;0;25,08;26,4;;;;;;;;;
